SHOULDBE,CURRENTNAME ,state,STATEABBR,FIPS,NYTFIPS
Jackson,Delta County,Michigan,MI,25003,26027
Jefferson,Dickinson County,Michigan,MI,25005,26029
Jessamine,Eaton County,Michigan,MI,25007,26031
Johnson,Emmet County,Michigan,MI,25009,26033
Kenton,Genesee County,Michigan,MI,25011,26035
Knott,Gladwin County,Michigan,MI,25013,26037
Knox,Gogebic County,Michigan,MI,25015,26039
Larue,Grand Traverse County,Michigan,MI,25017,26041
Laurel,Gratiot County,Michigan,MI,25019,26043
Lawrence,Hillsdale County,Michigan,MI,25021,26045
Lee,Houghton County,Michigan,MI,25023,26047
Leslie,Huron County,Michigan,MI,25025,26049
Letcher,Ingham County,Michigan,MI,,26051
Lewis,Ionia County,Michigan,MI,25027,26053
Lincoln,Iosco County,Michigan,MI,26001,26055
Livingston,Iron County,Michigan,MI,26003,26057
Logan,Isabella County,Michigan,MI,26005,26059
Lyon,Jackson County,Michigan,MI,26007,26061
Madison,Kalamazoo County,Michigan,MI,26009,26063
Magoffin,Kalkaska County,Michigan,MI,26011,26065
Marion,Kent County,Michigan,MI,26013,26067
Marshall,Keweenaw County,Michigan,MI,26015,26069
Martin,Lake County,Michigan,MI,26017,26071
Mason,Lapeer County,Michigan,MI,26019,26073
McCracken,Leelanau County,Michigan,MI,26021,26075
McCreary,Lenawee County,Michigan,MI,26023,26077
McLean,Livingston County,Michigan,MI,26025,26079
Meade,Luce County,Michigan,MI,26027,26081
Menifee,Mackinac County,Michigan,MI,26029,26083
Mercer,Macomb County,Michigan,MI,26031,26085
Metcalfe,Manistee County,Michigan,MI,26033,26087
Monroe,Marquette County,Michigan,MI,26035,26089
Montgomery,Mason County,Michigan,MI,26037,26091
Morgan,Mecosta County,Michigan,MI,26039,26093
Muhlenberg,Menominee County,Michigan,MI,26041,26095
Nelson,Midland County,Michigan,MI,26043,26097
Nicholas,Missaukee County,Michigan,MI,26045,26099
Ohio,Monroe County,Michigan,MI,26047,26101
Oldham,Montcalm County,Michigan,MI,26049,26103
Owen,Montmorency County,Michigan,MI,26051,26105
Owsley,Muskegon County,Michigan,MI,26053,26107
Pendleton,Newaygo County,Michigan,MI,26055,26109
Perry,Oakland County,Michigan,MI,26057,26111
Pike,Oceana County,Michigan,MI,26059,26113
Powell,Ogemaw County,Michigan,MI,26061,26115
Pulaski,Ontonagon County,Michigan,MI,26063,26117
Robertson,Osceola County,Michigan,MI,26065,26119
Rockcastle,Oscoda County,Michigan,MI,26067,26121
Rowan,Otsego County,Michigan,MI,26069,26123
Russell,Ottawa County,Michigan,MI,26071,26125
Scott,Presque Isle County,Michigan,MI,26073,26127
Shelby,Roscommon County,Michigan,MI,26075,26129
Simpson,Saginaw County,Michigan,MI,26077,26131
Spencer,St. Clair County,Michigan,MI,26079,26133
Taylor,St. Joseph County,Michigan,MI,26081,26135
Todd,Sanilac County,Michigan,MI,26083,26137
Trigg,Schoolcraft County,Michigan,MI,26085,26139
Trimble,Shiawassee County,Michigan,MI,26087,26141
Union,Tuscola County,Michigan,MI,26089,26143
Warren,Van Buren County,Michigan,MI,26091,26145
Washington,Washtenaw County,Michigan,MI,26093,26151
Wayne,Wayne County,Michigan,MI,26095,26153
Webster,Wexford County,Michigan,MI,26097,26155
Whitley,Aitkin County,Michigan,MN,26099,26147
Wolfe,Anoka County,Michigan,MN,26101,26149
Woodford,Becker County,Michigan,MN,26103,26157
Acadia,Beltrami County,Michigan,MN,26105,
Allen,Benton County,Michigan,MN,26107,26159
Ascension,Big Stone County,Michigan,MN,26109,26161
Assumption,Blue Earth County,Michigan,MN,26111,26163
Avoyelles,Brown County,Michigan,MN,26113,26165
Beauregard,Carlton County,Minnesota,MN,26115,27001
Bienville,Carver County,Minnesota,MN,26117,27003
Bossier,Cass County,Minnesota,MN,26119,27005
Caddo,Chippewa County,Minnesota,MN,26121,27007
Calcasieu,Chisago County,Minnesota,MN,26123,27009
Caldwell,Clay County,Minnesota,MN,26125,27011
Cameron,Clearwater County,Minnesota,MN,26127,27013
Catahoula,Cook County,Minnesota,MN,26129,27015
Claiborne,Cottonwood County,Minnesota,MN,26131,27017
Concordia,Crow Wing County,Minnesota,MN,26133,27019
De Soto,Dakota County,Minnesota,MN,26135,27021
East Baton Rouge,Dodge County,Minnesota,MN,26137,27023
East Carroll,Douglas County,Minnesota,MN,26139,27025
East Feliciana,Faribault County,Minnesota,MN,26141,27027
Evangeline,Fillmore County,Minnesota,MN,26143,27029
Franklin,Freeborn County,Minnesota,MN,26145,27031
Grant,Goodhue County,Minnesota,MN,26151,27033
Iberia,Grant County,Minnesota,MN,26153,27035
Iberville,Hennepin County,Minnesota,MN,26155,27037
Jackson,Houston County,Minnesota,MN,26147,27039
Jefferson,Hubbard County,Minnesota,MN,26149,27041
Jefferson Davis,Isanti County,Minnesota,MN,26157,27043
Lafayette,Itasca County,Minnesota,MN,,27045
Lafourche,Jackson County,Minnesota,MN,26159,27047
LaSalle,Kanabec County,Minnesota,MN,26161,27049
Lincoln,Kandiyohi County,Minnesota,MN,26163,27051
Livingston,Kittson County,Minnesota,MN,26165,27053
Madison,Koochiching County,Minnesota,MN,27001,27055
Morehouse,Lac qui Parle County,Minnesota,MN,27003,27057
Natchitoches,Lake County,Minnesota,MN,27005,27059
Orleans,Lake of the Woods County,Minnesota,MN,27007,27061
Ouachita,Le Sueur County,Minnesota,MN,27009,27063
Plaquemines,Lincoln County,Minnesota,MN,27011,27065
Pointe Coupee,Lyon County,Minnesota,MN,27013,27067
Rapides,McLeod County,Minnesota,MN,27015,27069
Red River,Mahnomen County,Minnesota,MN,27017,27071
Richland,Marshall County,Minnesota,MN,27019,27073
Sabine,Martin County,Minnesota,MN,27021,27075
St. Bernard,Meeker County,Minnesota,MN,27023,27077
St. Charles,Mille Lacs County,Minnesota,MN,27025,27079
St. Helena,Morrison County,Minnesota,MN,27027,27081
St. James,Mower County,Minnesota,MN,27029,27083
St. John the Baptist,Murray County,Minnesota,MN,27031,27087
St. Landry,Nicollet County,Minnesota,MN,27033,27089
St. Martin,Nobles County,Minnesota,MN,27035,27091
St. Mary,Norman County,Minnesota,MN,27037,27085
St. Tammany,Olmsted County,Minnesota,MN,27039,27093
Tangipahoa,Otter Tail County,Minnesota,MN,27041,27095
Tensas,Pennington County,Minnesota,MN,27043,27097
Terrebonne,Pine County,Minnesota,MN,27045,27099
Union,Pipestone County,Minnesota,MN,27047,27101
Unknown,Polk County,Minnesota,MN,27049,27103
Unknown,Pope County,Minnesota,MN,27051,27105
Unknown,Ramsey County,Minnesota,MN,27053,27107
Unknown,Red Lake County,Minnesota,MN,27055,27109
Unknown,Redwood County,Minnesota,MN,27057,27111
Unknown,Renville County,Minnesota,MN,27059,27113
Unknown,Rice County,Minnesota,MN,27061,27115
Unknown,Rock County,Minnesota,MN,27063,27117
Unknown,Roseau County,Minnesota,MN,27065,27119
Unknown,St. Louis County,Minnesota,MN,27067,27121
Unknown,Scott County,Minnesota,MN,27069,27123
Unknown,Sherburne County,Minnesota,MN,27071,27125
Unknown,Sibley County,Minnesota,MN,27073,27127
Unknown,Stearns County,Minnesota,MN,27075,27129
Unknown,Steele County,Minnesota,MN,27077,27131
Unknown,Stevens County,Minnesota,MN,27079,27133
Unknown,Swift County,Minnesota,MN,27081,27135
Unknown,Todd County,Minnesota,MN,27083,27139
Unknown,Traverse County,Minnesota,MN,27087,27141
Unknown,Wabasha County,Minnesota,MN,27089,27143
Unknown,Wadena County,Minnesota,MN,27091,27145
Unknown,Waseca County,Minnesota,MN,27085,27147
Unknown,Washington County,Minnesota,MN,27093,27149
Unknown,Watonwan County,Minnesota,MN,27095,27137
Unknown,Wilkin County,Minnesota,MN,27097,27151
Unknown,Winona County,Minnesota,MN,27099,27153
Vermilion,Wright County,Minnesota,MN,27101,27155
Vernon,Yellow Medicine County,Minnesota,MN,27103,
Washington,Adams County,Minnesota,MS,27105,27157
Webster,Alcorn County,Minnesota,MS,27107,27159
West Baton Rouge,Amite County,Minnesota,MS,27109,27161
West Carroll,Attala County,Minnesota,MS,27111,27163
West Feliciana,Benton County,Minnesota,MS,27113,27165
Winn,Bolivar County,Minnesota,MS,27115,27167
Androscoggin,Calhoun County,Minnesota,MS,27117,27169
Aroostook,Carroll County,Minnesota,MS,27119,27171
Cumberland,Chickasaw County,Minnesota,MS,27121,27173
Franklin,Choctaw County,Mississippi,MS,27123,28001
Hancock,Claiborne County,Mississippi,MS,27125,28003
Kennebec,Clarke County,Mississippi,MS,27127,28005
Knox,Clay County,Mississippi,MS,27129,28007
Lincoln,Coahoma County,Mississippi,MS,27131,28009
Oxford,Copiah County,Mississippi,MS,27133,28011
Penobscot,Covington County,Mississippi,MS,27135,28013
Piscataquis,DeSoto County,Mississippi,MS,27139,28015
Sagadahoc,Forrest County,Mississippi,MS,27141,28017
Somerset,Franklin County,Mississippi,MS,27143,28019
Waldo,George County,Mississippi,MS,27145,28021
Washington,Greene County,Mississippi,MS,27147,28023
York,Grenada County,Mississippi,MS,27149,28025
Allegany,Hancock County,Mississippi,MS,27137,28027
Anne Arundel,Harrison County,Mississippi,MS,27151,28029
Baltimore,Hinds County,Mississippi,MS,27153,28031
Baltimore city,Holmes County,Mississippi,MS,27155,28033
Calvert,Humphreys County,Mississippi,MS,,28035
Caroline,Issaquena County,Mississippi,MS,27157,28037
Carroll,Itawamba County,Mississippi,MS,27159,28039
Cecil,Jackson County,Mississippi,MS,27161,28041
Charles,Jasper County,Mississippi,MS,27163,28043
Dorchester,Jefferson County,Mississippi,MS,27165,28045
Frederick,Jefferson Davis County,Mississippi,MS,27167,28047
Garrett,Jones County,Mississippi,MS,27169,28049
Harford,Kemper County,Mississippi,MS,27171,28051
Howard,Lafayette County,Mississippi,MS,27173,28053
Kent,Lamar County,Mississippi,MS,28001,28055
Montgomery,Lauderdale County,Mississippi,MS,28003,28057
Prince George's,Lawrence County,Mississippi,MS,28005,28059
Queen Anne's,Leake County,Mississippi,MS,28007,28061
Somerset,Lee County,Mississippi,MS,28009,28063
St. Mary's,Leflore County,Mississippi,MS,28011,28065
Talbot,Lincoln County,Mississippi,MS,28013,28067
Unknown,Lowndes County,Mississippi,MS,28015,28069
Unknown,Madison County,Mississippi,MS,28017,28071
Unknown,Marion County,Mississippi,MS,28019,28073
Unknown,Marshall County,Mississippi,MS,28021,28075
Unknown,Monroe County,Mississippi,MS,28023,28077
Unknown,Montgomery County,Mississippi,MS,28025,28079
Unknown,Neshoba County,Mississippi,MS,28027,28081
Unknown,Newton County,Mississippi,MS,28029,28083
Unknown,Noxubee County,Mississippi,MS,28031,28085
Unknown,Oktibbeha County,Mississippi,MS,28033,28087
Unknown,Panola County,Mississippi,MS,28035,28089
Unknown,Pearl River County,Mississippi,MS,28037,28091
Unknown,Perry County,Mississippi,MS,28039,28093
Unknown,Pike County,Mississippi,MS,28041,28095
Unknown,Pontotoc County,Mississippi,MS,28043,28097
Unknown,Prentiss County,Mississippi,MS,28045,28099
Unknown,Quitman County,Mississippi,MS,28047,28101
Unknown,Rankin County,Mississippi,MS,28049,28103
Unknown,Scott County,Mississippi,MS,28051,28105
Unknown,Sharkey County,Mississippi,MS,28053,28107
Unknown,Simpson County,Mississippi,MS,28055,28109
Unknown,Smith County,Mississippi,MS,28057,28111
Unknown,Stone County,Mississippi,MS,28059,28113
Unknown,Sunflower County,Mississippi,MS,28061,28115
Unknown,Tallahatchie County,Mississippi,MS,28063,28117
Unknown,Tate County,Mississippi,MS,28065,28119
Washington,Tippah County,Mississippi,MS,28067,28121
Wicomico,Tishomingo County,Mississippi,MS,28069,28123
Worcester,Tunica County,Mississippi,MS,28071,28125
Barnstable,Union County,Mississippi,MS,28073,28127
Berkshire,Walthall County,Mississippi,MS,28075,28129
Bristol,Warren County,Mississippi,MS,28077,28131
Dukes,Washington County,Mississippi,MS,28079,28133
Essex,Wayne County,Mississippi,MS,28081,28135
Franklin,Webster County,Mississippi,MS,28083,28137
Hampden,Wilkinson County,Mississippi,MS,28085,28139
Hampshire,Winston County,Mississippi,MS,28087,28141
Middlesex,Yalobusha County,Mississippi,MS,28089,28143
Nantucket,Yazoo County,Mississippi,MS,28091,28145
Norfolk,Adair County,Mississippi,MO,28093,28147
Plymouth,Andrew County,Mississippi,MO,28095,28149
Suffolk,Atchison County,Mississippi,MO,28097,28151
Unknown,Audrain County,Mississippi,MO,28099,28153
Unknown,Barry County,Mississippi,MO,28101,28155
Unknown,Barton County,Mississippi,MO,28103,28157
Unknown,Bates County,Mississippi,MO,28105,28159
Unknown,Benton County,Mississippi,MO,28107,28161
Unknown,Bollinger County,Mississippi,MO,28109,28163
Unknown,Boone County,Missouri,MO,28111,29001
Unknown,Buchanan County,Missouri,MO,28113,29003
Unknown,Butler County,Missouri,MO,28115,29005
Unknown,Caldwell County,Missouri,MO,28117,29007
Unknown,Callaway County,Missouri,MO,28119,29009
Unknown,Camden County,Missouri,MO,28121,29011
Unknown,Cape Girardeau County,Missouri,MO,28123,29013
Unknown,Carroll County,Missouri,MO,28125,29015
Unknown,Carter County,Missouri,MO,28127,29017
Unknown,Cass County,Missouri,MO,28129,29019
Unknown,Cedar County,Missouri,MO,28131,29021
Unknown,Chariton County,Missouri,MO,28133,29023
Unknown,Christian County,Missouri,MO,28135,29025
Unknown,Clark County,Missouri,MO,28137,29027
Unknown,Clay County,Missouri,MO,28139,29029
Unknown,Clinton County,Missouri,MO,28141,29031
Unknown,Cole County,Missouri,MO,28143,29033
Unknown,Cooper County,Missouri,MO,28145,29035
Unknown,Crawford County,Missouri,MO,28147,29037
Unknown,Dade County,Missouri,MO,28149,29039
Worcester,Dallas County,Missouri,MO,28151,29041
Alcona,Daviess County,Missouri,MO,28153,29043
Alger,DeKalb County,Missouri,MO,28155,29045
Allegan,Dent County,Missouri,MO,28157,29047
Alpena,Douglas County,Missouri,MO,28159,29049
Antrim,Dunklin County,Missouri,MO,28161,29051
Arenac,Franklin County,Missouri,MO,28163,29053
Baraga,Gasconade County,Missouri,MO,29001,29055
Barry,Gentry County,Missouri,MO,29003,29057
Bay,Greene County,Missouri,MO,29005,29059
Benzie,Grundy County,Missouri,MO,29007,29061
Berrien,Harrison County,Missouri,MO,29009,29063
Branch,Henry County,Missouri,MO,29011,29065
Calhoun,Hickory County,Missouri,MO,29013,29067
Cass,Holt County,Missouri,MO,29015,29069
Charlevoix,Howard County,Missouri,MO,29017,29071
Cheboygan,Howell County,Missouri,MO,29019,29073
Chippewa,Iron County,Missouri,MO,29021,29075
Clare,Jackson County,Missouri,MO,29023,29077
Clinton,Jasper County,Missouri,MO,29025,29079
Crawford,Jefferson County,Missouri,MO,29027,29081
Delta,Johnson County,Missouri,MO,29029,29083
Dickinson,Knox County,Missouri,MO,29031,29085
Eaton,Laclede County,Missouri,MO,29033,29087
Emmet,Lafayette County,Missouri,MO,29035,29089
Genesee,Lawrence County,Missouri,MO,29037,29091
Gladwin,Lewis County,Missouri,MO,29039,29093
Gogebic,Lincoln County,Missouri,MO,29041,29095
Grand Traverse,Linn County,Missouri,MO,29043,29097
Gratiot,Livingston County,Missouri,MO,29045,29099
Hillsdale,McDonald County,Missouri,MO,29047,29101
Houghton,Macon County,Missouri,MO,29049,
Huron,Madison County,Missouri,MO,29051,
Ingham,Maries County,Missouri,MO,29053,29103
Ionia,Marion County,Missouri,MO,29055,29105
Iosco,Mercer County,Missouri,MO,29057,29107
Iron,Miller County,Missouri,MO,29059,29109
Isabella,Mississippi County,Missouri,MO,29061,29111
Jackson,Moniteau County,Missouri,MO,29063,29113
Kalamazoo,Monroe County,Missouri,MO,29065,29115
Kalkaska,Montgomery County,Missouri,MO,29067,29117
Kent,Morgan County,Missouri,MO,29069,29121
Keweenaw,New Madrid County,Missouri,MO,29071,29123
Lake,Newton County,Missouri,MO,29073,29125
Lapeer,Nodaway County,Missouri,MO,29075,29127
Leelanau,Oregon County,Missouri,MO,29077,29119
Lenawee,Osage County,Missouri,MO,29079,29129
Livingston,Ozark County,Missouri,MO,29081,29131
Luce,Pemiscot County,Missouri,MO,29083,29133
Mackinac,Perry County,Missouri,MO,29085,29135
Macomb,Pettis County,Missouri,MO,29087,29137
Manistee,Phelps County,Missouri,MO,29089,29139
Marquette,Pike County,Missouri,MO,29091,29141
Mason,Platte County,Missouri,MO,29093,29143
Mecosta,Polk County,Missouri,MO,29095,29145
Menominee,Pulaski County,Missouri,MO,29097,29147
Midland,Putnam County,Missouri,MO,29099,29149
Missaukee,Ralls County,Missouri,MO,29101,29151
Monroe,Randolph County,Missouri,MO,,29153
Montcalm,Ray County,Missouri,MO,,29155
Montmorency,Reynolds County,Missouri,MO,29103,29157
Muskegon,Ripley County,Missouri,MO,29105,29159
Newaygo,St. Charles County,Missouri,MO,29107,29161
Oakland,St. Clair County,Missouri,MO,29109,29163
Oceana,Ste. Genevieve County,Missouri,MO,29111,29165
Ogemaw,St. Francois County,Missouri,MO,29113,29167
Ontonagon,St. Louis County,Missouri,MO,29115,29169
Osceola,Saline County,Missouri,MO,29117,29171
Oscoda,Schuyler County,Missouri,MO,29121,29173
Otsego,Scotland County,Missouri,MO,29123,29175
Ottawa,Scott County,Missouri,MO,29125,29177
Presque Isle,Shannon County,Missouri,MO,29127,29179
Roscommon,Shelby County,Missouri,MO,29119,29181
Saginaw,Stoddard County,Missouri,MO,29129,29195
Sanilac,Stone County,Missouri,MO,29131,29197
Schoolcraft,Sullivan County,Missouri,MO,29133,29199
Shiawassee,Taney County,Missouri,MO,29135,29201
St. Clair,Texas County,Missouri,MO,29137,29203
St. Joseph,Vernon County,Missouri,MO,29139,29205
Tuscola,Warren County,Missouri,MO,29141,29183
Unknown,Washington County,Missouri,MO,29143,29185
Unknown,Wayne County,Missouri,MO,29145,29186
Unknown,Webster County,Missouri,MO,29147,29187
Unknown,Worth County,Missouri,MO,29149,29189
Unknown,Wright County,Missouri,MO,29151,29510
Unknown,St. Louis city,Missouri,MO,29153,29207
Unknown,Beaverhead County,Missouri,MT,29155,29209
Unknown,Big Horn County,Missouri,MT,29157,29211
Unknown,Blaine County,Missouri,MT,29159,29213
Unknown,Broadwater County,Missouri,MT,29161,29215
Unknown,Carbon County,Missouri,MT,29163,29217
Unknown,Carter County,Missouri,MT,29165,29219
Unknown,Cascade County,Missouri,MT,29167,29221
Unknown,Chouteau County,Missouri,MT,29169,29223
Unknown,Custer County,Missouri,MT,29171,29225
Unknown,Daniels County,Missouri,MT,29173,29227
Unknown,Dawson County,Missouri,MT,29175,29229
Unknown,Deer Lodge County,Montana,MT,29177,30001
Unknown,Fallon County,Montana,MT,29179,30003
Unknown,Fergus County,Montana,MT,29181,30005
Unknown,Flathead County,Montana,MT,29195,30007
Unknown,Gallatin County,Montana,MT,29197,30009
Unknown,Garfield County,Montana,MT,29199,30013
Unknown,Glacier County,Montana,MT,29201,30015
Unknown,Golden Valley County,Montana,MT,29203,30017
Unknown,Granite County,Montana,MT,29205,30019
Van Buren,Hill County,Montana,MT,29183,30021
Washtenaw,Jefferson County,Montana,MT,29185,30023
Wayne,Judith Basin County,Montana,MT,29186,30025
Wexford,Lake County,Montana,MT,29187,30027
Aitkin,Lewis and Clark County,Montana,MT,29189,30029
Anoka,Liberty County,Montana,MT,29510,30031
Becker,Lincoln County,Montana,MT,29207,30033
Beltrami,McCone County,Montana,MT,29209,30035
Benton,Madison County,Montana,MT,29211,30037
Big Stone,Meagher County,Montana,MT,29213,30039
Blue Earth,Mineral County,Montana,MT,29215,30041
Brown,Missoula County,Montana,MT,29217,30043
Carlton,Musselshell County,Montana,MT,29219,30045
Carver,Park County,Montana,MT,29221,30047
Cass,Petroleum County,Montana,MT,29223,30049
Chippewa,Phillips County,Montana,MT,29225,30051
Chisago,Pondera County,Montana,MT,29227,30053
Clay,Powder River County,Montana,MT,29229,30057
Clearwater,Powell County,Montana,MT,30001,30055
Cook,Prairie County,Montana,MT,30003,30059
Cottonwood,Ravalli County,Montana,MT,30005,30061
Crow Wing,Richland County,Montana,MT,30007,30063
Dakota,Roosevelt County,Montana,MT,30009,30065
Dodge,Rosebud County,Montana,MT,30013,30067
Douglas,Sanders County,Montana,MT,30015,30071
Faribault,Sheridan County,Montana,MT,30017,30073
Fillmore,Silver Bow County,Montana,MT,30019,30075
Freeborn,Stillwater County,Montana,MT,30021,30077
Goodhue,Sweet Grass County,Montana,MT,30023,30079
Grant,Teton County,Montana,MT,30025,30081
Hennepin,Toole County,Montana,MT,30027,30083
Houston,Treasure County,Montana,MT,30029,30085
Hubbard,Valley County,Montana,MT,30031,30087
Isanti,Wheatland County,Montana,MT,30033,30089
Itasca,Wibaux County,Montana,MT,30035,30091
Jackson,Yellowstone County,Montana,MT,30037,30093
Kanabec,Adams County,Montana,NE,30039,30095
Kandiyohi,Antelope County,Montana,NE,30041,30097
Kittson,Arthur County,Montana,NE,30043,30099
Koochiching,Banner County,Montana,NE,30045,30101
Lac qui Parle,Blaine County,Montana,NE,30047,30103
Lake,Boone County,Montana,NE,30049,30105
Lake of the Woods,Box Butte County,Montana,NE,30051,30107
Le Sueur,Boyd County,Montana,NE,30053,30109
Lincoln,Brown County,Montana,NE,30057,30111
Lyon,Buffalo County,Nebraska,NE,30055,31001
Mahnomen,Burt County,Nebraska,NE,30059,31003
Marshall,Butler County,Nebraska,NE,30061,31005
Martin,Cass County,Nebraska,NE,30063,31007
McLeod,Cedar County,Nebraska,NE,30065,31011
Meeker,Chase County,Nebraska,NE,30067,31013
Mille Lacs,Cherry County,Nebraska,NE,30071,31015
Morrison,Cheyenne County,Nebraska,NE,30073,31017
Mower,Clay County,Nebraska,NE,30075,31019
Murray,Colfax County,Nebraska,NE,30077,31021
Nicollet,Cuming County,Nebraska,NE,30079,31023
Nobles,Custer County,Nebraska,NE,30081,31025
Norman,Dakota County,Nebraska,NE,30083,31027
Olmsted,Dawes County,Nebraska,NE,30085,31029
Otter Tail,Dawson County,Nebraska,NE,30087,31031
Pennington,Deuel County,Nebraska,NE,30089,31033
Pine,Dixon County,Nebraska,NE,30091,31035
Pipestone,Dodge County,Nebraska,NE,30093,31037
Polk,Douglas County,Nebraska,NE,30095,31039
Pope,Dundy County,Nebraska,NE,30097,31041
Ramsey,Fillmore County,Nebraska,NE,30099,31043
Red Lake,Franklin County,Nebraska,NE,30101,31045
Redwood,Frontier County,Nebraska,NE,30103,31047
Renville,Furnas County,Nebraska,NE,30105,31049
Rice,Gage County,Nebraska,NE,30107,31051
Rock,Garden County,Nebraska,NE,30109,31053
Roseau,Garfield County,Nebraska,NE,30111,31055
Scott,Gosper County,Nebraska,NE,31001,31057
Sherburne,Grant County,Nebraska,NE,31003,31059
Sibley,Greeley County,Nebraska,NE,31005,31061
Stearns,Hall County,Nebraska,NE,31007,31063
Steele,Hamilton County,Nebraska,NE,31011,31065
Stevens,Harlan County,Nebraska,NE,31013,31067
St. Louis,Hayes County,Nebraska,NE,31015,31069
Swift,Hitchcock County,Nebraska,NE,31017,31071
Todd,Holt County,Nebraska,NE,31019,31073
Traverse,Hooker County,Nebraska,NE,31021,31077
Unknown,Howard County,Nebraska,NE,31023,31079
Unknown,Jefferson County,Nebraska,NE,31025,31081
Unknown,Johnson County,Nebraska,NE,31027,31083
Unknown,Kearney County,Nebraska,NE,31029,31087
Unknown,Keith County,Nebraska,NE,31031,31089
Unknown,Keya Paha County,Nebraska,NE,31033,31091
Unknown,Kimball County,Nebraska,NE,31035,31093
Unknown,Knox County,Nebraska,NE,31037,31095
Unknown,Lancaster County,Nebraska,NE,31039,31097
Unknown,Lincoln County,Nebraska,NE,31041,31099
Unknown,Logan County,Nebraska,NE,31043,31101
Unknown,Loup County,Nebraska,NE,31045,31105
Unknown,McPherson County,Nebraska,NE,31047,31107
Unknown,Madison County,Nebraska,NE,31049,31109
Unknown,Merrick County,Nebraska,NE,31051,31111
Unknown,Morrill County,Nebraska,NE,31053,31119
Unknown,Nance County,Nebraska,NE,31055,31117
Unknown,Nemaha County,Nebraska,NE,31057,31121
Unknown,Nuckolls County,Nebraska,NE,31059,31123
Unknown,Otoe County,Nebraska,NE,31061,31125
Unknown,Pawnee County,Nebraska,NE,31063,31127
Unknown,Perkins County,Nebraska,NE,31065,31129
Unknown,Phelps County,Nebraska,NE,31067,31131
Unknown,Pierce County,Nebraska,NE,31069,31133
Unknown,Platte County,Nebraska,NE,31071,31135
Unknown,Polk County,Nebraska,NE,31073,31137
Wabasha,Red Willow County,Nebraska,NE,31077,31139
Wadena,Richardson County,Nebraska,NE,31079,31141
Waseca,Rock County,Nebraska,NE,31081,31143
Washington,Saline County,Nebraska,NE,31083,31145
Watonwan,Sarpy County,Nebraska,NE,31087,31147
Wilkin,Saunders County,Nebraska,NE,31089,31149
Winona,Scotts Bluff County,Nebraska,NE,31091,31151
Wright,Seward County,Nebraska,NE,31093,31153
Yellow Medicine,Sheridan County,Nebraska,NE,31095,31155
Adams,Sherman County,Nebraska,NE,31097,31157
Alcorn,Sioux County,Nebraska,NE,31099,31159
Amite,Stanton County,Nebraska,NE,31101,31161
Attala,Thayer County,Nebraska,NE,31105,31163
Benton,Thomas County,Nebraska,NE,31107,31165
Bolivar,Thurston County,Nebraska,NE,31109,31167
Calhoun,Valley County,Nebraska,NE,31111,31169
Carroll,Washington County,Nebraska,NE,31119,31171
Chickasaw,Wayne County,Nebraska,NE,31117,31173
Choctaw,Webster County,Nebraska,NE,31121,
Claiborne,Wheeler County,Nebraska,NE,31123,31175
Clarke,York County,Nebraska,NE,31125,31177
Clay,Churchill County,Nebraska,NV,31127,31179
Coahoma,Clark County,Nebraska,NV,31129,31181
Copiah,Douglas County,Nebraska,NV,31131,31183
Covington,Elko County,Nebraska,NV,31133,31185
DeSoto,Esmeralda County,Nevada,NV,31135,32510
Forrest,Eureka County,Nevada,NV,31137,32001
Franklin,Humboldt County,Nevada,NV,31139,32003
George,Lander County,Nevada,NV,31141,32005
Greene,Lincoln County,Nevada,NV,31143,32007
Grenada,Lyon County,Nevada,NV,31145,32011
Hancock,Mineral County,Nevada,NV,31147,32013
Harrison,Nye County,Nevada,NV,31149,32015
Hinds,Pershing County,Nevada,NV,31151,32017
Holmes,Storey County,Nevada,NV,31153,32019
Humphreys,Washoe County,Nevada,NV,31155,32021
Issaquena,White Pine County,Nevada,NV,31157,32023
Itawamba,Carson City,Nevada,NV,31159,32027
Jackson,Belknap County,Nevada,NH,31161,32029
Jasper,Carroll County,Nevada,NH,31163,32031
Jefferson,Cheshire County,Nevada,NH,31165,32033
Jefferson Davis,Coos County,New Hampshire,NH,31167,33001
Jones,Grafton County,New Hampshire,NH,31169,33003
Kemper,Hillsborough County,New Hampshire,NH,31171,33005
Lafayette,Merrimack County,New Hampshire,NH,31173,33007
Lamar,Rockingham County,New Hampshire,NH,,33009
Lauderdale,Strafford County,New Hampshire,NH,31175,33011
Lawrence,Sullivan County,New Hampshire,NH,31177,33013
Leake,Atlantic County,New Hampshire,NJ,31179,33015
Lee,Bergen County,New Hampshire,NJ,31181,33017
Leflore,Burlington County,New Hampshire,NJ,31183,33019
Lincoln,Camden County,New Jersey,NJ,31185,34001
Lowndes,Cape May County,New Jersey,NJ,32510,34003
Madison,Cumberland County,New Jersey,NJ,32001,34005
Marion,Essex County,New Jersey,NJ,32003,34007
Marshall,Gloucester County,New Jersey,NJ,32005,34009
Monroe,Hudson County,New Jersey,NJ,32007,34011
Montgomery,Hunterdon County,New Jersey,NJ,32011,34013
Neshoba,Mercer County,New Jersey,NJ,32013,34015
Newton,Middlesex County,New Jersey,NJ,32015,34017
Noxubee,Monmouth County,New Jersey,NJ,32017,34019
Oktibbeha,Morris County,New Jersey,NJ,32019,34021
Panola,Ocean County,New Jersey,NJ,32021,34023
Pearl River,Passaic County,New Jersey,NJ,32023,34025
